name,lat,lon,Price/gallon,addr_street,website
Chevron,36.1158426,-115.1990476,3.20,,
7-Eleven,36.0573072,-115.1728093,3.33,South Las Vegas Boulevard,http://www.7eleven.com
Chevron,36.0564841,-115.1717791,3.34,,
Chevron,36.0481091,-115.1717668,3.53,,
Sinclair,36.0572632,-115.1626823,3.91,,
Chevron,36.1259426,-115.20769,3.30,,
7-Eleven,36.100086,-115.2434929,3.95,,
Terrible's Herbst,36.0996932,-115.2978795,3.24,West Tropicana Avenue,http://www.teriblehertz.com
7-Eleven,36.2401593,-115.1173089,3.73,East Craig Road,http://www.711.com
Fil's Gas Station,36.0617065,-115.2429506,3.86,,
Chevron,36.0707481,-115.2788468,3.46,South Durango Drive,
Shell,36.291388,-115.2851004,3.27,,
Sams Club Gas Station,36.2732345,-115.2687336,3.79,,
Terrible's Gas Station,36.2722311,-115.2644313,3.92,,
Circle K,36.1299785,-115.0658791,3.64,South Nellis Boulevard,https://www.circlek.com/
Rainbow Market,36.1292242,-115.0660534,3.18,East Desert Inn Road,
7-Eleven,36.1834067,-115.309707,3.44,North Town Center Drive,
7-Eleven,36.1147658,-115.0924356,3.41,East Flamingo Road,http://www.7eleven.com
Rebel,36.1143902,-115.0653999,3.61,,
Terrible,36.1373656,-115.0651594,3.19,South Nellis Boulevard,
Shell,36.1448974,-115.0478797,3.56,,
Chevron,36.1450053,-115.0466826,3.41,,
Sunrise Food Mart,36.1598893,-115.047745,3.23,,
Shell,36.1589109,-115.0479653,3.31,,
7-Eleven,36.1593189,-115.0619548,3.45,North Nellis Boulevard,https://www.7-eleven.com/
Texaco,36.1592456,-115.062878,3.32,,
Sinclair,36.1302141,-115.0830742,3.71,,
76,36.1294213,-115.1050427,3.56,,
Chevron,36.1149431,-115.1373687,3.42,,
Texaco,36.1006264,-115.1363793,3.75,,
Smith's Fuel Center,36.1163998,-115.0916104,3.57,,
7-Eleven,36.2188515,-115.2965917,3.55,West Cheyenne Avenue,http://www.7eleven.com
Rebel,36.14458,-115.0826177,3.49,East Sahara Avenue,https://www.rebeloil.com/
7-Eleven,36.1445661,-115.0832849,3.58,East Sahara Avenue,http://www.7eleven.com
Rebel,36.136562,-115.0651666,3.86,,
Terrible,36.1220049,-115.0646631,3.77,,
Rebel,36.1004536,-115.1015125,3.02,East Tropicana Avenue,https://www.rebeloil.com/
7-Eleven,36.1013488,-115.1286544,3.58,,
Arco,36.0419585,-115.0998079,3.58,,
Circle K,36.1457619,-115.1007316,3.05,,
7-Eleven,36.1818523,-115.2595789,3.04,Buffalo Drive,http://www.7eleven.com
Reble,36.1816897,-115.2604073,3.11,,
Terrible's Herbst,36.1447754,-115.1903636,3.44,West Sahara Avenue,https://www.terribleherbst.com/
7-Eleven,36.1438232,-115.1771705,3.27,West Sahara Avenue,http://www.7eleven.com
Green valley grocery,36.1440955,-115.2086812,3.07,,
chevron,36.1438719,-115.2257989,3.79,West Sahara Avenue,https://www.chevron.com/
Chevon,36.1438362,-115.2248695,3.91,West Sahara Avenue,https://www.chevron.com/
Chevron,36.1585159,-115.1724626,2.96,,
Circle K,36.1447703,-115.0660159,3.11,,
Mobil,36.1294245,-115.1102192,3.69,,
7-Eleven,36.1306625,-115.0836557,3.91,Boulder Highway,http://www.7eleven.com
7-Eleven,36.1592884,-115.080564,3.76,,
Rebel,36.158517,-115.0797103,3.70,,
Shell,36.1585645,-115.0741841,3.87,,
7-Eleven,36.1587074,-115.0747468,3.49,,
Shell,36.1147708,-115.1644791,3.17,,
Arco,36.1140731,-115.1636084,3.32,,
7-Eleven,36.1215878,-115.1458948,3.04,,
7-Eleven,36.1012608,-115.2070906,3.42,West Tropicana Avenue,http://www.7eleven.com
7-Eleven,36.1011098,-115.0522139,3.72,Boulder Highway,http://www.7eleven.com
Rainbow Market,36.188542,-115.0618428,3.39,,
Rainbow Market,36.1810503,-115.0625882,3.63,,
7-Eleven,36.1744288,-115.0625318,3.42,,
Circle K,36.1452336,-115.1568254,3.55,,
Arco,36.1515111,-115.1519475,3.48,,
Shell,36.0895134,-115.172115,3.45,,
Texaco,36.166292,-115.206427,3.89,South Decatur Boulevard,http://wwwtexaco.com
7-Eleven,36.099989,-115.0727752,3.61,,http://www.7eleven.com
Rebel,36.0998217,-115.0737077,3.93,,
Circle K,36.1005183,-115.0634374,3.35,,
Arco,36.1591725,-115.149172,3.06,,
Mobil,36.1007367,-115.053373,3.44,Boulder Highway,http://www.exxon.com
Costco Gasoline,36.1708162,-115.1612109,3.17,,https://m.costco.com/WarehouseLocatorView?storeId=10301
Chevron,36.0418711,-115.1707828,3.90,,
Western Petroleum,36.1445928,-115.1192058,3.79,,
Shell,36.1662004,-115.0625332,3.27,,
Smith's Gas Station,36.167255,-115.0616643,3.63,,
Chevron,36.1002519,-115.1134496,3.17,,
Shell,36.2540644,-115.0795333,3.78,,
7-Eleven,36.2030791,-115.2419645,3.45,North Rainbow Boulevard,
Terrible Herbst,36.1963458,-115.2416032,3.93,,
Rebel,36.1963604,-115.2474312,3.06,,
7-Eleven,36.1215967,-115.1545827,3.46,,http://www.7eleven.com
Chevron,36.2185541,-115.2519453,3.28,,
Rebel,36.218558,-115.2510053,3.82,,
Chevron,36.14388,-115.1374982,3.70,,
Arco,36.1591054,-115.1183119,3.65,,
Chevron,36.0655728,-115.012703,3.22,,
Circle K,36.057238,-115.001306,3.12,,
City Express,36.0586708,-115.002867,3.18,,
Mercurylight,36.0586162,-115.0042175,3.07,,
Arco,36.1881931,-115.0803279,3.64,,
76,36.1888361,-115.0802891,3.89,,
Shell,36.1812311,-115.08,3.59,,
Arco,36.1732031,-115.080988,3.08,,
Circle K,36.1737001,-115.0809225,3.74,,
Standard,36.1003165,-115.1835583,3.66,,
Fills,36.0407239,-115.1908257,3.69,,
Fabulous Freddy's,36.1586283,-115.2919142,3.71,West Charleston Boulevard,http://www.fabfred.com
Chevron,36.0213202,-115.2785974,3.65,,
Chevron,36.0219245,-115.2439213,3.12,,
Arco,36.0228511,-115.2440177,3.20,,
Arco,36.1440409,-115.191279,3.60,West Sahara Avenue,https://www.arco.com/
Pacific Pride Cardlock,36.2539005,-115.0792742,3.07,Lamb Boulevard,
Sinclair (Truck Stop),36.1024963,-115.1871041,3.08,,
Gas Station,36.1959018,-115.0259383,3.85,,
Chevron,36.196112,-115.1255902,2.96,,
7-Eleven,36.2174185,-115.1278366,3.13,,
Chevron,36.2172086,-115.1788871,3.87,,
7-Eleven,36.2179184,-115.1800324,3.83,,
Arco,36.2181093,-115.1618347,3.79,,
Chevron,36.2180075,-115.1607779,3.74,,
7-Eleven,36.2176353,-115.2070997,3.09,,
Rebel,36.2174773,-115.2119947,3.95,,
Chevron,36.2182974,-115.2398816,3.36,,
7-Eleven,36.2184289,-115.2427327,3.87,West Cheyenne Avenue,http://www.7eleven.com
Rebel,36.2178056,-115.2426817,3.09,West Cheyenne Avenue,https://www.rebeloil.com/
Terrible herbst,36.2203372,-115.3294108,3.87,Novat Street,http://www.teribleherbst.com
Chevron,36.2619876,-115.1794089,3.78,,
Arco,36.2695443,-115.2062998,3.81,,
Shell,36.2547167,-115.1536046,3.82,,
Texaco,36.239858,-115.161467,3.45,,
Chevron,36.2033285,-115.1611752,3.75,,
Chevron,36.1774053,-115.1612998,3.47,,
shell,36.1587397,-115.2806688,3.75,West Charleston Boulevard,https://www.shell.com/
Chevron,36.1584506,-115.313278,3.00,West Charleston Boulevard,http://www.teribelherst.com
Chevron,36.1596022,-115.3331983,2.96,West Charleston Boulevard,https://www.terribleherbst.com/
Chevron,36.1956546,-115.2516672,3.55,,
Terribles Herbst,36.1996652,-115.2814396,3.58,,http://www.terriblelherbst.com
76,36.2525174,-115.1526993,3.76,,
76,36.2711853,-115.2599339,3.10,,
speedee mart,36.1440574,-115.2980583,3.65,South Fort Apache Road,https://speedeemart.com/
7-Eleven,36.2254445,-115.0624901,3.18,North Nellis Boulevard,http://www.7eleven.com
7-Eleven,36.2357685,-115.0617962,3.76,North Las Vegas Boulevard,http://www.7eleven.com
7-Eleven,36.2402534,-115.0556588,3.46,North Las Vegas Boulevard,http://www.7eleven.com
Arco,36.1265529,-115.1987533,3.89,,
Terrible's,36.0347839,-115.0475489,3.93,,
76,36.123135,-115.15465,3.39,,
Shell,36.1260846,-115.1986905,3.65,,
Shell,36.2399213,-115.09678,3.33,,
Shell,36.0339818,-115.09992,3.46,,
Shell,36.1012659,-115.1885113,3.66,,
Terrible Herbst,36.0994458,-115.2426258,3.76,,
Terrible Herbst,36.1077986,-115.2976523,3.59,Peace Way,https://www.terribleherbst.com/
Terrible Herbst,36.1004062,-115.2967794,3.23,West Tropicana Avenue,https://www.terribleherbst.com/
Terrible Herbst,36.1595514,-115.3223113,3.88,West Charleston Boulevard,http://www.terribleherbst.com
Green Valley Grocery,36.0922434,-115.2978435,3.21,South Fort Apache Road,http://www.greenvallygrocery.com
7-Eleven,36.0847657,-115.3062644,3.26,West Russell Road,http://www.7eleven.com
Maverik,36.0697058,-115.297291,3.47,South Fort Apache Road,
rebel,36.159441,-115.2433082,3.88,,
Peak Mart,36.1152324,-115.2884209,3.12,,
7-Eleven,36.1143044,-115.260594,3.75,West Flamingo Road,http://www.7eleven.com
Rebel,36.1149049,-115.238737,2.96,,
Terrible’s Herbst,36.1440202,-115.2615725,3.30,West Sahara Avenue,https://www.terribleherbst.com/
7-Eleven,36.122736,-115.2975228,3.45,South Fort Apache Road,http://www.7-eleven.com
Terrible Herbst,36.2186069,-115.2600439,3.69,West Cheyenne Avenue,http://www.terribleherbst.com
Smith's,36.1005523,-115.3137328,3.62,,
7-Eleven,36.0843089,-115.306108,3.41,West Russel Road,http://www.7eleven.com
7-Eleven,36.12264,-115.2974619,3.69,South Fort Apache Road,http://www.7eleven.com
Stop n Shop,36.1292209,-115.2794081,3.88,,
Green Valley Grocery,36.1585323,-115.2627887,3.19,West Charleston Boulevard,http://www.greenvallygrocery.com
Rebel,36.1152368,-115.2965992,3.48,West Flamingo Road,https://www.rebeloil.com/
7-Eleven,36.0712321,-115.1190712,3.57,,
7-Eleven,36.0963504,-115.1192486,3.86,,
Arco,36.1450332,-115.3149649,3.49,,
Arco,36.14425,-115.1906729,3.47,West Sahara Avenue,
Pilot,36.2406577,-115.0978321,3.41,,
7-Eleven,36.2805311,-115.1344395,3.52,,
